aeñ breeroo,,a badger,,noun,awa,animal,,,,,
aeñ noor,,a bear,,noun,awa,animal,,,,,
aeñ kaastor,,a beaver,,noun,awa,animal,,,,,
aeñ naamoo,,a bee,,noun,awa,animal,,,,,
aeñ nweezoo,,a bird,,noun,awa,animal,,,,,
aeñ buffloo,,a buffalo,,noun,awa,animal,,,,,
aeñ maemaeñgwaeñ(?),,a butterfly,,noun,awa,animal,,,,,
aeñ kariboo(?),,a caribou,,noun,awa,animal,,,,,
en shat,,a cat (female),,noun,awa,animal,,,,,
aeñ shaa,,a cat (male),,noun,awa,animal,,,,,
en pol,,a chicken,,noun,awa,animal,,,,,
en swis baarii,,a chipmunk,,noun,awa,animal,,,,,
en vash,,a cow,,noun,awa,animal,,,,,
en krichee(?),,a cricket,,noun,awa,animal,,,,,
aeñ shoovreu(?),,a deer,,noun,awa,animal,,,,,
aeñ shyaeñ,,a dog,,noun,awa,animal,,,,,
aeñ kanaar,,a duck,,noun,awa,animal,,,,,
aeñ pwesooñ,,a fish,,noun,awa,animal,,,,,
en moosh,,a fly,,noun,awa,animal,,,,,
aeñ rinaar,,a fox,,noun,awa,animal,,,,,
aeñ shev,,a goat,,noun,awa,animal,,,,,
aeñ zwee,,a goose,,noun,awa,animal,,,,,
en sootrel,,a grasshopper,,noun,awa,animal,,,,,
aeñ moov,,a gull,,noun,awa,animal,,,,,
aeñ zhwaal,,a horse,,noun,awa,animal,,,,,
aeñ minoosh,,a kitty,,noun,awa,animal,,,,,
aeñ lizaar,,a lizard,,noun,awa,animal,,,,,
aeñ naariyael(?),,a moose,,noun,awa,animal,,,,,
aeñ maraeñgwaeñ(?),,a mosquito,,noun,awa,animal,,,,,
aeñ soorii,,a mouse,,noun,awa,animal,,,,,
en paadrii,,a partridge,,noun,awa,animal,,,,,
aeñ nanimaal di meezooñ,,a pet,,noun,awa,animal,,,,,
aeñ piizhooñ,,a pidgeon,,noun,awa,animal,,,,,
aeñ kwashooñ,,a pig,,noun,awa,animal,,,,,
aeñ lyeev,,a rabbit,,noun,awa,animal,,,,,
aeñ shaa savaezh(?),,a raccoon,,noun,awa,animal,,,,,
en griiv,,a robin,,noun,awa,animal,,,,,
aeñ mwatooñ,,a sheep,,noun,awa,animal,,,,,
aeñ shikaak,,a skunk,,noun,awa,animal,,,,,
en kooleev(?),,a snake,,noun,awa,animal,,,,,
aeñ kaanookaat(?),,a spider,,noun,awa,animal,,,,,
en swis,,a squirrel,,noun,awa,animal,,,,,
en den,,a turkey,,noun,awa,animal,,,,,
en torcheu,,a turtle,,noun,awa,animal,,,,,
en blet,,a weasel,,noun,awa,animal,,,,,
aeñ loo,,a wolf,,noun,awa,animal,,,,,
aeñ veer(?),,a worm,,noun,awa,animal,,,,,
aeñ nanimaal,,an animal,,noun,awa,animal,,,,,
aeñ frimii(?),,an ant,,noun,awa,animal,,,,,
aeñ naegl,,an eagle,,noun,awa,animal,,,,,
en bish,,an elk,,noun,awa,animal,,,,,
aeñ yiiboo,,an owl,,noun,awa,animal,,,,,
lii zanimaal,,animals,,noun,awa,animal,,,,,
lii zweezoo,,birds,,noun,awa,animal,,,,,
lii zanimaal di meezooñ,,pets (animals),,noun,awa,animal,,,,,
l’animaal,,the animal,,noun,awa,animal,,,,,
l’oor,,the bear,,noun,awa,animal,,,,,
l’aamoo,,the bee,,noun,awa,animal,,,,,
l’weezoo,,the bird,,noun,awa,animal,,,,,
l’aegl,,the eagle,,noun,awa,animal,,,,,
l’aariyael(?),,the moose,,noun,awa,animal,,,,,
l’animaal di meezooñ,,the pet,,noun,awa,animal,,,,,
lii zhvoo,,horses,,noun,ookik,animal,,,,,
aeñ vyalooñ,,a fiddle (instrument),,noun,ooma,art,,,,,
la meuzik,,music,,noun,,art,,,,,
li kaafii,,coffee,,noun,ooma,beverages,,,,,
il zheu,,juice,,noun,ooma,beverages,,,,,
dilet,,milk,,noun,ooma,beverages,,,,,
li tii,,tea,,noun,ooma,beverages,,,,,
diloo,,water,,noun,ooma,beverages,,,,,
li vaeñ,,wine,,noun,ooma,beverages,,,,,
aeñ zoo,,a bone,,noun,ooma,body,,,,,
en zhaamb,,a leg,,noun,ooma,body,,,,,
en zel,,a wing,,noun,ooma,body,,,,,
aeñ braa,,an arm,,noun,ooma,body,,,,,
aeñ naree,,an ear,,noun,ooma,body,,aeñ zaree,,,
aeñ reum,,a cold (illness),,noun,,body,illness,,,,
la grip,,the flu (illness),,noun,,body,illness,,,,
en seencheur,,a belt,,noun,awa,clothing,accessories,,,,
en krimon,,a scarf,,noun,awa,clothing,accessories,,,,
aeñ baa,,a sock,,noun,awa,clothing,,,,,
aeñ kol,,a tie,,noun,awa,clothing,,,,,
la kilot di twel bleu,,jeans,,noun,awa,clothing,,,,,
la kilot,,pants,,noun,awa,clothing,,,,,
la kilot kor,,shorts,,noun,awa,clothing,,,,,
aeñ shapoo,,a hat,,noun,ooma,clothing,accessories,,,,
en kasket,,a cap,,noun,ooma,clothing,,,,,
aeñ kapoo,,a coat,,noun,ooma,clothing,,,,,
en rob,,a dress,,noun,ooma,clothing,,,,,
en rob ditseu,,a housecoat,,noun,ooma,clothing,,,,,
aeñ zhilee,,a jacket; a blazer,,noun,ooma,clothing,,,,,
en posh,,a pocket,,noun,ooma,clothing,,,,,
aeñ kapoo di pwii,,a raincoat,,noun,ooma,clothing,,,,,
en shmiizh,,a shirt,,noun,ooma,clothing,,,,,
aeñ sooyii,,a shoe,,noun,ooma,clothing,,,,,
en zheup,,a skirt,,noun,ooma,clothing,,,,,
aeñ sooyii di meezooñ,,a slipper,,noun,ooma,clothing,,,,,
aeñ nabiimaa,,a suit,,noun,ooma,clothing,,,,,
aeñ sweter,,a sweater,,noun,ooma,clothing,,,,,
en t-shirt,,a T-shirt,,noun,ooma,clothing,,,,,
en cheuk,,a toque,,noun,ooma,clothing,,,,,
aeñ kapoo d’iveer,,a winter coat,,noun,ooma,clothing,,,,,
en shmiizh disoor,,an undershirt,,noun,ooma,clothing,,,,,
li bitaeñ,,clothing,,noun,ooma,clothing,,,,,
li bitaeñ’d swer,,pajamas,,noun,ooma,clothing,,,,,
l’abiimaa,,the suit,,noun,ooma,clothing,,,,,
li bitaeñ disoor,,underwear,,noun,ooma,clothing,,,,,
lii tayt,,tights,,noun,,clothing,,,,,
nweer,,black,,adjective,,colour,,,,,
bleu,,blue,,adjective,,colour,,,,,
brun,,brown,,adjective,,colour,,,,,
shakwalaa,,brown,,adjective,,colour,,,,,
li koleur,,colour,,adjective,,colour,,,,,
lor,,gold,,adjective,,colour,,,,,
veer,,green,,adjective,,colour,,,,,
grii,,grey,,adjective,,colour,,,,,
araañzh,,orange,,adjective,,colour,,,,,
koleur di rooz,,pink,,adjective,,colour,,,,,
vyalet,,purple,,adjective,,colour,,,,,
roozh,,red,,adjective,,colour,,,,,
larzhaañ,,silver,,adjective,,colour,,,,,
blaañ,,white,,adjective,,colour,,,,,
zhoon,,yellow,,adjective,,colour,,,,,
zhi pa sartaeñ,,I am confused,confused,adjective,,descriptor,emotions,,,,
ili pa sartaeñ,,s/he is confused,confused,adjective,,descriptor,emotions,,,,
zhi dikorazhii,,I am frustrated/discouraged,frustrated/discouraged,adjective,,descriptor,emotions,,,,
ili dikorazhii,,s/he is frustrated/discouraged,frustrated/discouraged,adjective,,descriptor,emotions,,,,
zhi nerveu,,I am nervous,nervous,adjective,,descriptor,emotions,,,,
ili nerveu,,s/he is nervous,nervous,adjective,,descriptor,emotions,,,,
zhi kajeuk,,I am sad,sad,adjective,,descriptor,emotions,,,,
ili kajeuk,,s/he is sad,sad,adjective,,descriptor,emotions,,,,
zhi dimotii,,I am surprised,surprised,adjective,,descriptor,emotions,,,,
ili dimotii,,s/he is surprised,surprised,adjective,,descriptor,emotions,,,,
zhi pa kooñtaañ,,I am upset,upset,adjective,,descriptor,emotions,,,,
ili pa kooñtooñ,,s/he is upset,upset,adjective,,descriptor,emotions,,,,
zhi aeñket,,I am worried,worried,adjective,,descriptor,emotions,,,,
ili aeñket,,s/he is worried,worried,adjective,,descriptor,emotions,,,,
peehkaach,,slowly,,adjective,,descriptor,current state,,,,
ili parii,,-something; someone- is ready,,adjective,,descriptor,,,,,
apishiish,,a little bit,,,,descriptor,,,,,
en peer,,a pair,,,,descriptor,,,,,
kiihtwaam,,again,,adverb,,descriptor,,,,,
keekaach,,close; almost,,adverb,,descriptor,,keekaat,,,
kwayesh,,correct,,adjective,,descriptor,,,,,
zhi parii,,I am ready,,adjective,,descriptor,,,,,
nawach apishiish,,less,,adjective,,descriptor,,nawat apishiish,,,
mishcheet(?),,many; numerous,,adjective,,descriptor,,,,,
kiyaapich nawat,,more,,,,descriptor,,kiyaapit nawat; kiyaapich nawach,,Kiyaapich nawat sii vuu plee!,More please!
namakeekway,,nothing; there isn’t any,,,,descriptor,,,,,
taapishkooch,,similar to; just like,,adjective,,descriptor,,taapishkoot,,,
shishikwach,,suddenly,,adverb,,descriptor,,shishikwat,,,
li miyeur,,the best,,noun,,descriptor,,,,,
peeyakwan,,the same,,,,descriptor,,,,,
oshaam,,too much,,adjective,,descriptor,,,,,
miina,,"too, also, again",,preposition,,descriptor,,,,,
kayaa,,don’t (do that),,,,directions,command,,,,
aañleer,,above; up; upstairs,,preposition,,directions,,,,Li portree aañleer la taeb ashteew.,The picture is above the table.
mishiwee,,all over,,preposition,,directions,,,,,
zeusk a,,all the way to,,preposition,,directions,,,,,
pi,,and,,conjunction,,directions,,,,Gii-miichin lii zhaamb di pol pi lii pataak daañ la gres.,I ate chicken legs and fried potatoes.
daryeer,,behind,,preposition,,directions,,,,,
aañbaa,,below; under; down; downstairs,,,,directions,,,,La taeb aañbaa li portree ashteew.,The table is below the picture.
akotii,,beside,,preposition,,directions,,,,La sheez akotii la taeb ashteew.,The chair is beside the table.
aañter,,between,,preposition,,directions,,,,Ma meezooñ aañter l’ikol pi l’igliiz.,My house is between the school and the church.
mishiwee,,everywhere,,adverb,,directions,,,,,
oschi,,from,,preposition,,directions,,,,,
oota,,here,,,,directions,,,,,
daeñ,,in a; on a (used with “aeñ”),,preposition,,directions,,,This is a contraction of “daañ aeñ”.,daeñ liivr; daeñ nasyet,in a book; on a plate
den,,in a; on a (used with “en”),,preposition,,directions,,,This is a contraction of “daañ en”.,Wiikiw den farm. Ni-wiikin den meezooñ.,He lives on a farm. I live in a house.
divaañ,,in front of,,preposition,,directions,,,,,
daañ li miljeu,,in the middle,,,,directions,,,,,
didaañ,,in; inside,,preposition,,directions,,,,Li lyeev didaañ li shapoo ayaaw.,The rabbit is inside the hat.
cheekwat,,instead,,adverb,,directions,,,,,
araa,,near,,preposition,,directions,,,,,
namanaandaaw,,nowhere,,adverb,,directions,,,,,
daañ _____ oschi,,off of; out of,,preposition,,directions,,,,,
diseu,,on,,preposition,,directions,,deseu,,La bol diseu la taeb ashteew.,The cup is on the table.
daañ,,onto; into; on; in,,preposition,,directions,,,,,
oo baeñ,,or,,conjunction,,directions,,,,Li kaafii oo baeñ li tii ki-nohtee-minihkwaan?,
eekotee,,out that way; over there,,,,directions,,,,,
dahoor,,outside,,noun,,directions,,,,,
naandaaw,,somewhere,,adverb,,directions,,,,,
iitaa,,that place where,,,,directions,,,,,
eekotee teehkee,,that way,,,,directions,,,,,
eekota,,there (close by),,,,directions,,,,,
ootee teehkee,,this way,,,,directions,,,,,
a,,to,,preposition,,directions,,,,,
teehkee,,towards; side,,,,directions,,,,Noohkom ni-maamaa teehkee awa.,This is my grandmother on my mother’s side.
disoor,,under,,preposition,,directions,,,,Li shyaeñ disoor la taeb ayaaw.,The dog is under the table.
zeusk,,up to; until,,preposition,,directions,,,,,
neetee,,way over there,,,,directions,,,,,
avik,,with,,preposition,,directions,,,,,
aeñ narlorzh,,a clock,,noun,awa,electronics,,,,,
l’arlorzh,,the clock,,noun,awa,electronics,,,,,
aeñ laamp,,a lamp,,noun,ooma,electronics,,,,,
en mashin kaa-aataaweekeet li maañzhii,,a vending machine,,noun,,electronics,,,,,
aeñ muffin,,a muffin,,noun,awa,food,breakfast,,,,
en krep,,a pancake,,noun,awa,food,breakfast,,,,
la galet,,bannock,,noun,awa,food,breakfast,,,,
li paeñ,,bread,,noun,awa,food,breakfast,,,,
li toos,,toast,,noun,awa,food,breakfast,,,,
aeñ gaatoo,,a cake,,noun,awa,food,dessert,,,,
aeñ biskwii,,a cookie,,noun,awa,food,dessert,,,,
aeñ kapkeek,,a cupcake,,noun,awa,food,dessert,,,,
aeñ taart,,a pie,,noun,awa,food,dessert,,,,
en pchit taart,,a tart,,noun,awa,food,dessert,,,,
la poochin,,pudding,,noun,awa,food,dessert,,,,
en banaan,,a banana,,noun,awa,food,fruit,,,,
aeñ sitrooñ,,a lemon,,noun,awa,food,fruit,,,,
aeñ lime,,a lime,,noun,awa,food,fruit,,,,
en pesh,,a peach,,noun,awa,food,fruit,,,,
en fraambweez,,a raspberry,,noun,awa,food,fruit,,,,
en pom,,an apple,,noun,awa,food,fruit,,,,
aeñ naraañzh,,an orange,,noun,awa,food,fruit,,,,
l’araañzh,,the orange,,noun,awa,food,fruit,,,,
aeñ hamburger,,a hamburger,,noun,awa,food,meal,,,,
en pizza,,a pizza,,noun,awa,food,meal,,,,
aeñ sandwich,,a sandwich,,noun,awa,food,meal,,,,
li paasta,,pasta,,noun,awa,food,meal,,,,
la pol,,chicken,,noun,awa,food,meat,,,,
li mwatooñ,,lamb,,noun,awa,food,meat,,,,
la den,,turkey,,noun,awa,food,meat,,,,
li pwesooñ,,fish,,noun,awa,food,seafood,,,,
li popcorn,,popcorn,,noun,awa,food,snack,,,,
aeñ fev,,a bean,,noun,awa,food,vegetable,,,,
en batraav,,a beet,,noun,awa,food,vegetable,,,,
la shoo,,a cabbage,,noun,awa,food,vegetable,,,,
en karot,,a carrot,,noun,awa,food,vegetable,,,,
la kokoomb,,a cucumber,,noun,awa,food,vegetable,,,,
aeñ pwaa,,a pea,,noun,awa,food,vegetable,,,,
en pataak,,a potato,,noun,awa,food,vegetable,,,,
en tomat,,a tomato,,noun,awa,food,vegetable,,,Marlee miyeeyimeew lii tomat.,Marlee likes tomatoes.
aeñ zayooñ,,an onion,,noun,awa,food,vegetable,,,,
li bladaeñ,,corn,,noun,awa,food,vegetable,,,,
la paat,,dough,,noun,awa,food,,,,,
la farin,,flour,,noun,awa,food,,,,,
lii boolet,,Michif meatballs,,noun,ookik,food,meal,,,,
aeñ zaef,,an egg,,noun,ooma,food,breakfast,,,,
li porij,,porridge,,noun,ooma,food,breakfast,,,,
li yogurt,,yogurt,,noun,ooma,food,breakfast,,,,
li beur,,butter,,noun,ooma,food,condiment,,,,
li framaezh,,cheese,,noun,ooma,food,condiment,,,,
la soos,,gravy,,noun,ooma,food,condiment,,,,
li myel,,honey,,noun,ooma,food,condiment,,,,
la kooñficheur,,jam,,noun,ooma,food,condiment,,,,
li wil,,oil,,noun,ooma,food,condiment,,,,
li pweev,,pepper,,noun,ooma,food,condiment,,,,
li soos di salaad,,salad dressing,,noun,ooma,food,condiment,,,,
li sel,,salt,,noun,ooma,food,condiment,,,,
li seuk,,sugar,,noun,ooma,food,condiment,,,,
li siiroo,,syrup,,noun,ooma,food,condiment,,,,
li vinaegr,,vinegar,,noun,ooma,food,condiment,,,,
aeñ kaandii,,a candy,,noun,ooma,food,dessert,,,,
li shaakwalaa,,chocolate,,noun,ooma,food,dessert,,,,
la krem di glaas,,ice cream,,noun,ooma,food,dessert,,,,
en freez,,a strawberry,,noun,ooma,food,fruit,,,,
li dizhenii,,breakfast,,noun,ooma,food,meal,,,,
li siryel,,cereal,,noun,ooma,food,meal,,,,
li soopii,,dinner; supper,,noun,ooma,food,meal,,,,
li jinii,,lunch,,noun,ooma,food,meal,,,,
li rii,,rice,,noun,ooma,food,meal,,,,
la salaad,,salad,,noun,ooma,food,meal,,,,
la soop,,soup,,noun,ooma,food,meal,,,,
li raagoo,,stew,,noun,ooma,food,meal,,,,
en roochii,,a roast,,noun,ooma,food,meat,,,,
li laar bokanii,,bacon,,noun,ooma,food,meat,,,,
li zhaañbooñ,,ham,,noun,ooma,food,meat,,,,
la vyaañd,,meat,,noun,ooma,food,meat,,,,
aeñ zhardinaazh,,a vegetable,,noun,ooma,food,vegetable,,,,
li braaklii,,broccoli,,noun,ooma,food,vegetable,,,,
la shoofleur,,cauliflower,,noun,ooma,food,vegetable,,,,
la selrii,,celery,,noun,ooma,food,vegetable,,,,
la fy di salaad,,lettuce,,noun,ooma,food,vegetable,,,,
aeñ sak di tii,,a teabag,,noun,ooma,food,,,,,
li poodr a paat,,baking powder,,noun,ooma,food,,,,,
la krem,,cream,,noun,ooma,food,,,,,
li maañzhii,,food,,noun,ooma,food,,,,,
li laar,,lard,,noun,ooma,food,,,,,
en pweer,,a pear,,noun,,food,fruit,,,,
aeñ kanaar,,a kettle,,noun,awa,home,kitchen,,,,
en choyeer,,a spoon,,noun,awa,home,kitchen,,,,
en choyeer aañ bwaa,,a wooden spoon,,noun,awa,home,kitchen,,,,
li pwel,,cooktop,,noun,awa,home,kitchen,,,,
en shayeer,,a bucket,,noun,awa,home,,,,,
aeñ plaa por lii biskwii,,a cookie sheet,,noun,ooma,home,kitchen,,,,
en bol,,a cup,,noun,ooma,home,kitchen,,,,
en foorshet,,a fork,,noun,ooma,home,kitchen,,,,
aeñ kootoo,,a knife,,noun,ooma,home,kitchen,,,,
aeñ groo plaa,,a mixing bowl,,noun,ooma,home,kitchen,,,,
aeñ nasyet,,a plate,,noun,ooma,home,kitchen,,,,
la fornoo,,oven,,noun,ooma,home,kitchen,,,,
l’asyet,,the plate,,noun,ooma,home,kitchen,,,,
la shaambr ishpimihk,,attic,,noun,ooma,home,room,,,,
la kaev,,basement,,noun,ooma,home,room,,,,
la shaambr ita kaa-kawishimohk,,bedroom,,noun,ooma,home,room,,,,
ita kaa-akooteehki lii bitaeñ,,closet,,noun,ooma,home,room,,,,
la shaambr kaa-miitshohk,,dining room,,noun,ooma,home,room,,,,
li garaazh,,garage,,noun,ooma,home,room,,,,
la chwiizin,,kitchen,,noun,ooma,home,room,,,,
la shaambr por chi-kishiipeekinikeehk,,laundry room,,noun,ooma,home,room,,,,
la salooñ,,living room,,noun,ooma,home,room,,,,
la shaambr por lii beebii,,nursery,,noun,ooma,home,room,,,,
l’aafis,,office,,noun,ooma,home,room,,,,
la pchit shaambr por li maañzhii,,pantry,,noun,ooma,home,room,,,,
la plaas ita kaa-pakaashimohk,,powder room,,noun,ooma,home,room,,,,
dahoor alaañtoor la meezooñ,,yard,,noun,ooma,home,room,,,,
aeñ lii,,a bed,,noun,ooma,home,,,,,
aeñ liivr,,a book,,noun,ooma,home,,,,,
aeñ rak di liivr,,a bookcase,,noun,ooma,home,,,,,
en bwet,,a box,,noun,ooma,home,,,,,
en sheez,,a chair,,noun,ooma,home,,,,,
en klii,,a key,,noun,ooma,home,,,,,
aeñ kriyooñ,,a pencil,,noun,ooma,home,,,,,
aeñ portree,,a picture,,noun,ooma,home,,,,,
aeñ tapii,,a rug,,noun,ooma,home,,,,,
en taeb,,a table,,noun,ooma,home,,en taab,,,
aeñ shaasii,,a window,,noun,ooma,home,,,,,
li plafooñ,,ceiling,,noun,ooma,home,,,,,
la plaañshii,,floor,,noun,ooma,home,,,,,
la meury,,wall,,noun,ooma,home,,,,,
aeñ dii,,die (singular of dice),,noun,,home,game,,,,
aeñ zhaan d’ikol,,a student,,noun,,job,,,,,
en metres d’ikol,,a teacher (female),,noun,,job,,,,,
aeñ metr d’ikol,,a teacher (male),,noun,,job,,,,,
aeñ pooñ,,a bridge,,noun,,location,,,,,
en groo vil,,a city,,noun,,location,,,,,
en meezooñ,,a house,,noun,,location,,,,,
aeñ magazaeñ,,a store/shop,,noun,,location,,,,,
aeñ shmaeñ,,a street/road,,noun,,location,,,,,
en vil,,a town,,noun,,location,,,,,
en bacheez di shaar,,a train station,,noun,,location,,,,,
l’igliiz,,church,,noun,,location,,,,,
l’aafis,,office,,noun,,location,,,,,
l’ikol,,school,,noun,,location,,,,,
aeñ morsoo,,a piece,,noun,ooma,misc. nouns,,,,aeñ morsoo di pwesooñ; lii morsoo di framaezh,a piece of fish; some pieces of cheese
en griyad,,a slice,,noun,ooma,misc. nouns,,,,en griyad di laar bokanii,a slice of bacon
en traañsh,,a slice,,noun,ooma,misc. nouns,,,,en traañsh di paeñ; en traañsh di pom,a slice of bread; a slice of apple
aeñ troo,,a hole,,noun,,misc. nouns,,,,,
aeñ nooñ,,a name,,noun,,misc. nouns,,,,,
en pwii,,a well (hole),,noun,,misc. nouns,,,,,
noo,,no,,noun,,misc. nouns,,,,,
wii,,yes,,noun,,misc. nouns,,,,,
la glas,,ice,,noun,awa,nature,weather,,,,
en rosh,,a rock,,noun,awa,nature,,,,,
aeñ nitwel,,a star,,noun,awa,nature,,,,,
aeñ tramb,,a tree,,noun,awa,nature,,,,,
aeñ naarb,,a tree,,noun,awa,nature,,,,,
la luun,,moon,,noun,awa,nature,,,,,
la niizh,,snow,,noun,awa,nature,,,,,
l’itwel,,the star,,noun,awa,nature,,,,,
l’aarb,,the tree,,noun,awa,nature,,,,,
en podirii,,a blizzard,,noun,ooma,nature,weather,,,,
en nwaazh,,a cloud,,noun,ooma,nature,weather,,,,
aeñ nark aañ syel,,a rainbow,,noun,ooma,nature,weather,,,,
en taañpet di niizh,,a snowstorm,,noun,ooma,nature,weather,,,,
aeñ taañpet,,a storm,,noun,ooma,nature,weather,,,,
en taañpet di toneur,,a thunderstorm,,noun,ooma,nature,weather,,,,
